역명,주말구분,전체이용객수,피크시간대,피크시간대_이용객수,피크집중도,시간대별_평균,시간대별_표준편차,안정도
용답,주말,471440.0,17-18시간대,35849.0,0.076041,23572.000000,10001.897425,0.575687
용두(동대문구청),전체,1847514.0,08-09시간대,178661.0,0.096703,92375.700000,47735.856594,0.483242
용두(동대문구청),평일,1457751.0,08-09시간대,164159.0,0.112611,72887.550000,40593.372303,0.443069
용두(동대문구청),주말,389763.0,15-16시간대,33434.0,0.085780,19488.150000,11052.932327,0.432838
용마산(용마폭포공원),전체,4036727.0,08-09시간대,453352.0,0.112307,201836.350000,96948.413194,0.519668
용마산(용마폭포공원),평일,3182433.0,08-09시간대,401794.0,0.126254,159121.650000,87990.423196,0.447024
용마산(용마폭포공원),주말,854294.0,09-10시간대,61979.0,0.072550,42714.700000,17175.591053,0.597900
우장산,전체,10447726.0,08-09시간대,971493.0,0.092986,522386.300000,242500.371621,0.535783
우장산,평일,8402919.0,08-09시간대,872520.0,0.103835,420145.950000,215783.245861,0.486409
우장산,주말,2044807.0,13-14시간대,157073.0,0.076816,102240.350000,48327.921901,0.527311
월곡(동덕여대),전체,8275691.0,08-09시간대,886080.0,0.107070,413784.550000,208484.764763,0.496151
월곡(동덕여대),평일,6799706.0,08-09시간대,814371.0,0.119766,339985.300000,191426.043569,0.436958
월곡(동덕여대),주말,1475985.0,16-17시간대,113558.0,0.076937,73799.250000,32069.202500,0.565454
월드컵경기장(성산),전체,4519609.0,18-19시간대,440426.0,0.097448,225980.450000,116707.935217,0.483549
월드컵경기장(성산),평일,2819562.0,18-19시간대,278547.0,0.098791,140978.100000,69055.475301,0.510169
월드컵경기장(성산),주말,1700047.0,16-17시간대,164049.0,0.096497,85002.350000,52205.075154,0.385840
을지로3가,전체,26145426.0,18-19시간대,3351822.0,0.128199,1307271.300000,840983.800944,0.356688
을지로3가,평일,21350785.0,08-09시간대,3059905.0,0.143316,1067539.250000,786157.410773,0.263580
을지로3가,주말,4794641.0,17-18시간대,422787.0,0.088179,239732.050000,125627.260705,0.475968
을지로4가,전체,14692609.0,18-19시간대,1608888.0,0.109503,734630.450000,435442.630117,0.407263
을지로4가,평일,12076559.0,08-09시간대,1517680.0,0.125672,603827.950000,395695.659547,0.344688
